epoch,train_loss,val_loss
1,0.10972530394792557,0.09930611401796341
2,0.08961545675992966,0.08778002858161926
3,0.07631640136241913,0.08216679096221924
4,0.06833979487419128,0.0822056457400322
5,0.06631636619567871,0.08397475630044937
6,0.06251450628042221,0.0858747810125351
7,0.060463231056928635,0.08724390715360641
8,0.058418840169906616,0.08794084936380386
9,0.05530005320906639,0.08824717253446579
10,0.05322764441370964,0.08812817186117172
11,0.052042700350284576,0.08781789988279343
12,0.05057056248188019,0.08747320622205734
13,0.0503353476524353,0.08741065859794617
14,0.04869871586561203,0.08718583732843399
15,0.04700392857193947,0.08718166500329971
16,0.045589249581098557,0.08781496435403824
17,0.04423783719539642,0.08876405656337738
18,0.04170995205640793,0.09025541692972183
19,0.04251605272293091,0.09158287197351456
20,0.03966900333762169,0.0929698720574379
