analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,amp_mse_mean,phase_circular_mse_mean,wt_1_mean,wt_1_std,wt_1_cv,wt_2_mean,wt_2_std,wt_2_cv,wt_3_mean,wt_3_std,wt_3_cv,gap_1_mean,gap_1_std,gap_1_cv,gap_2_mean,gap_2_std,gap_2_cv,gap_3_mean,gap_3_std,gap_3_cv,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_3_mean,gamma_3_std,gamma_3_cv,eps_inf_mean,eps_inf_std,eps_inf_cv,gain_mean,gain_std,gain_cv,phase_shift_mean,phase_shift_std,phase_shift_cv
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,0.7460359698698769,5.692702584811537,917.9098324350844,57.13684745664045,0.06224668854939929,1088.16940029314,254.92896701612165,0.23427323626735333,1240.451738559861,178.90764573557271,0.1442278165064596,164.13193953034795,120.2307215702009,0.7325248328077243,233.01654418905858,6.952176450213841,0.02983554869080377,158.73677258647228,14.86521993755423,0.09364698358422205,129.38184061263587,0.23040010802054667,0.0017807762427228698,168.72866719770832,24.98548446591998,0.14808085003814056,103.35617403520087,91.22796074962098,0.8826561315023538,9.663596682222764,8.099164892136297,0.8381108142328086,1.3669098879015764,0.28581478644699865,0.20909555698277532,-1.877172112029581,0.2799300215883679,0.14912325742708674
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,0.15317448564402894,4.010727436473782,1251.7837501951199,311.01592145836105,0.2484581872926513,1035.0568842103808,99.17915146770093,0.09582000079387333,1056.896218354286,401.51764168708104,0.37990261930210434,91.95675771701225,22.22105405925525,0.24164677625130998,250.6772047897244,38.000483551917625,0.15159130078172708,219.07678677449144,59.56251293710327,0.27187961723984777,106.30366823025325,25.799938697102686,0.242700361372226,29.454920046783162,9.582062290487707,0.3253127922946461,150.59244544891465,59.24253506124458,0.39339646076341467,12.896025278997726,2.285291767967966,0.17720900174704743,0.45249082621952047,0.40340552071459473,0.8915219677927078,0.21248282759773943,1.6922894711550052,7.964358393776502
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.04074030890481278,4.1070461043200925,945.44264541409,11.553081459890905,0.012219759195131956,1287.7684379175796,1.424592186074051,0.0011062487199691455,1385.534359444819,1.7134561837665387,0.0012366753462835455,81.42005833910147,0.0014484413369757476,1.7789735924350788e-05,78.69396635281424,0.050487344419060776,0.0006415656339685768,81.42501146668317,0.002892186552948317,3.551963334726115e-05,299.9969662185358,7.308256044780137e-08,2.4361099835965515e-10,38.23891154496572,0.4956785919500106,0.012962675238219265,210.20239054888458,16.440832698736543,0.07821429934751825,0.10020506293248327,9.224338654023637e-11,9.205460745723786e-10,0.19042937583871372,5.276258319142357e-09,2.7707164500394614e-08,0.07066461278857528,7.071318686158179e-08,1.0006872473253246e-06
