analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_1,1285.6026795317166,1.1659412073002122,0.0009069218864143219,0.0,1284.6607282647765,1287.245693648494,3
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_2,1330.481668427263,4.325022659205164,0.0032507194663701664,0.0,1324.533377334944,1334.689550701714,3
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_3,1483.5518634876962,5.155429153428651,0.0034750582573558975,0.0,1476.3469494653514,1488.1210599063602,3
