sample_id,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,analysis_group,amp_mse,phase_circular_mse,residual_l2,eps_inf,gain,phase_shift,center_1,center_2,center_3
TA-1280-a,9,0.0182303583590948,0.0891385569085072,0.0208208736543617,0.1033462249517461,类器官1 ZX Cell 1__1200,0.0015862309629805,1.516965221503337,0.7837523322390684,0.1000000000000342,0.971255561227446,-3.141425346886386,690.0000000000239,884.715895993587,1300.8957866326905
TA-1280-b,4,0.0231034080990406,0.0922410551401594,0.0268025262895694,0.1045848985296549,类器官1 ZX Cell 1__1200,0.0016597795966938,1.4713164008206987,3.3260934986563253,0.1,0.971255561227446,-3.141425346886386,690.0000000000001,881.4474979368626,1303.0096606131076
bian-1280-b,9,0.0256217628581394,0.7645614269321787,0.0297206442478175,0.8991653294175661,类器官1 ZX Cell 1__1200,0.0042689571519612,2.406692145759439,1.3339425576775974,10.402143598363114,0.971255561227446,-3.141425346886386,881.5024328676586,979.095802552301,1699.9044079331602
