batch,n_samples,n_analysis_groups,amp_mse_mean,phase_circular_mse_mean,synthetic_samples,pretrain_epochs,refine_steps,phase_weight,model
group2_raw_reference__1200,3,1,0.07947590024446262,2.415885106235236,128,40,80,0.0,senior-style semi-infinite multi-phonon + MLP
group2_raw_reference__1280,7,3,0.05450170462760327,3.396300834682851,128,40,80,0.0,senior-style semi-infinite multi-phonon + MLP
