analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_1,1285.618182875501,1.1834335496785264,0.0009205171219899658,0.0,1284.6850507225502,1287.287961625864,3
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_2,1330.5930474623626,4.539180845975021,0.0034113967862915754,0.0,1324.3387144753765,1334.9727047919987,3
类器官1 ZX Cell 1__1200,organoid,类器官1 ZX Cell 1,1200,center_3,1483.9693244970274,5.441615450515408,0.0036669325711026885,0.0,1476.342287988694,1488.6705384436152,3
