dataset_group,class_label,specimen,marker,dilution,magnification,count,png,tif,examples
CRF,CRF__organoid_or_cell,类器官1 ZX Cell,,,20x,6,6,0,类器官1 ZX Cell 1-1(20).png | 类器官1 ZX Cell 1-2(20).png | 类器官1 ZX Cell 2-1(20).png
CRF,CRF__organoid_or_cell,类器官1 ZX Cell,,,50x,4,4,0,类器官1 ZX Cell 1-1(50).png | 类器官1 ZX Cell 1-2(50).png | 类器官1 ZX Cell 2-1(50).png
CRF2,TA0038190758__blank__20x,TA0038190758,blank,,20x,3,3,0,TA0038190758空白（R6）（20）_1.png | TA0038190758空白（R6）（20）_2.png | TA0038190758空白（R6）（20）_3.png
CRF2,TA0038190758__KI67__1:1200__20x,TA0038190758,KI67,1:1200,20x,3,3,0,TA0038190758_ki67_1.1200（20）_1.png | TA0038190758_ki67_1.1200（20）_2.png | TA0038190758_ki67_1.1200（20）_3.png
CRF2,TA0038190758__KI67__1:400__20x,TA0038190758,KI67,1:400,20x,3,3,0,TA0038190758_ki67_1.400（20）_1.png | TA0038190758_ki67_1.400（20）_2.png | TA0038190758_ki67_1.400（20）_3.png
CRF2,TA0038190758__PD1__1:1000__20x,TA0038190758,PD1,1:1000,20x,3,3,0,TA0038190758_PD1_1.1000（20）_1.png | TA0038190758_PD1_1.1000（20）_2.png | TA0038190758_PD1_1.1000（20）_3.png
CRF2,TA0038190758__PD1__1:500__20x,TA0038190758,PD1,1:500,20x,3,3,0,TA0038190758_PD1_1.500（20）_1.png | TA0038190758_PD1_1.500（20）_2.png | TA0038190758_PD1_1.500（20）_3.png
CRF2,人扁桃体_14__PD1__1:500__10x,人扁桃体_14,PD1,1:500,10x,2,2,0,人扁桃体_14_PD1_1.500（10）_1.png | 人扁桃体_14_PD1_1.500（10）_2.png
CRF2,人扁桃体_14__PD1__1:500__20x,人扁桃体_14,PD1,1:500,20x,2,2,0,人扁桃体_14_PD1_1.500（20）_1.png | 人扁桃体_14_PD1_1.500（20）_2.png
CRF2,人扁桃体_3__KI67__1:400__10x,人扁桃体_3,KI67,1:400,10x,2,2,0,人扁桃体_3_ki67_1.400(10）_1.png | 人扁桃体_3_ki67_1.400(10）_2.png
CRF2,人扁桃体_3__KI67__1:400__20x,人扁桃体_3,KI67,1:400,20x,2,2,0,人扁桃体_3_ki67_1.400(20）_1.png | 人扁桃体_3_ki67_1.400(20）_2.png
CRF2,TA0038190758__blank__10x,TA0038190758,blank,,10x,1,1,0,TA0038190758空白（R6）（10）_1.png
CRF2,TA0038190758__KI67__1:1200__10x,TA0038190758,KI67,1:1200,10x,1,1,0,TA0038190758_ki67_1.1200（10）_1.png
CRF2,TA0038190758__KI67__1:400__10x,TA0038190758,KI67,1:400,10x,1,1,0,TA0038190758_ki67_1.400（10）_1.png
CRF2,TA0038190758__PD1__1:1000__10x,TA0038190758,PD1,1:1000,10x,1,1,0,TA0038190758_PD1_1.1000（10）_1.png
CRF2,TA0038190758__PD1__1:500__10x,TA0038190758,PD1,1:500,10x,1,1,0,TA0038190758_PD1_1.500（10）_1.png
