batch,n_samples,n_analysis_groups,amp_mse_mean,phase_circular_mse_mean,synthetic_samples,pretrain_epochs,refine_steps,phase_weight,model
group2_raw_reference__1200,3,1,0.022855168139838806,3.4776611234623567,8,2,3,0.0,senior-style semi-infinite multi-phonon + MLP
group2_raw_reference__1280,7,3,0.03678834579495123,3.5734382810026437,8,2,3,0.0,senior-style semi-infinite multi-phonon + MLP
