batch,dataset_name,sample_id,class_label,specimen_name,marker,tune_wavenumber,reference_file,reference_mode,fit_space,phase_calibration_mode,phase_calibration_phi0,phase_calibration_phi1,phase_calibration_w0,analysis_group,n_points,eps_inf,gain,phase_shift,amp_offset,amp_mse,phase_circular_mse,amp_relative_mse,complex_mse,complex_real_mse,complex_imag_mse,residual_l2,success,center_1,center_2,center_3,gamma_1,gamma_2,gamma_3,strength_1,strength_2,strength_3
group2_raw_reference__1200,group2_raw_reference,lei 1-1200-a,organoid,类器官1 ZX Cell 1,none,1200,,none,amp_phase,offset,-1.3396047155062356,0.0,1504.0,类器官1 ZX Cell 1__1200,266,0.10000000000000002,0.2185504369388329,2.7919767224792156,0.0,0.005153951332019383,1.503618118676038,0.14606928602555747,2.961498978760225,0.7274349813737195,2.2340639973865053,0.9071360152330024,True,1284.6051199193155,1331.622233178571,1484.2807450706741,21.46208251637995,66.58613903838824,299.5178639784513,2.759167801407832,4.736526406654751,19.99963316397556
group2_raw_reference__1200,group2_raw_reference,lei 1-1200-b,organoid,类器官1 ZX Cell 1,none,1200,,none,amp_phase,offset,-1.3396047155062356,0.0,1504.0,类器官1 ZX Cell 1__1200,266,0.10000000000000002,0.2185504369388329,2.7919767224792156,0.0,0.003740629969317616,0.5657245218965118,0.10581337772293364,1.1679809821006844,0.35079551503054457,0.8171854670701395,0.3338593399096761,True,1287.1033537248145,1333.7453875149927,1486.4291613085222,20.114406827713687,67.72013075549613,299.99999999999994,1.8948148914284209,4.2500060096892796,19.991213863865028
group2_raw_reference__1200,group2_raw_reference,lei 1-1200-e,organoid,类器官1 ZX Cell 1,none,1200,,none,amp_phase,offset,-1.3396047155062356,0.0,1504.0,类器官1 ZX Cell 1__1200,266,0.10030382637233326,0.2185504369388329,2.7919767224792156,0.0,0.00514899649354647,0.4515200147933547,0.11585317176430622,0.9830357327850652,0.5705530934108594,0.41248263937420565,0.2289516681959082,True,1284.9684515397882,1325.164058347404,1476.4526313124845,18.202801032692623,55.84141074645927,299.99999999999994,0.4947202714615902,0.9075444422533167,5.860821798929598
