analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std,center_3_mean,center_3_std
TA0038190758_PD1_1.500__1280,2,0.009874105613874484,0.13954398174844032,0.13399643699342245,764.0193361893666,1.0358131860108957,969.8909228892742,1.1854104433311747,1336.8921572324377,1.5327015930449501
人扁桃体_14_PD1_1.500__1280,3,0.013318632113863893,1.0282802323197493,0.3953012002626481,1042.827259427118,287.9041078063047,1007.7801735658537,79.25865307864443,1478.2520844020412,115.50456872730147
类器官2 ZX Cell 2__1280,2,0.0034851187176563837,1.1817123589351932,0.45823910812213053,897.4899497112976,255.90954146261214,1193.4285420274132,121.86587882427986,1330.7080035546912,4.568168203400867
