batch,n_samples,n_analysis_groups,amp_mse_mean,phase_circular_mse_mean,synthetic_samples,pretrain_epochs,refine_steps,phase_weight,model
group2_raw_reference__1200,3,1,0.7438945043907997,3.153528264479592,8,2,3,0.0,senior-style semi-infinite multi-phonon + MLP
group2_raw_reference__1280,7,3,0.5231986291161524,4.0334330795709175,8,2,3,0.0,senior-style semi-infinite multi-phonon + MLP
