batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,reference_file,reference_mode,fit_space,phase_calibration_mode,phase_calibration_phi0,phase_calibration_phi1,phase_calibration_w0,amp_mse_mean,phase_circular_mse_mean,complex_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,3,0.07975065377585507,0.32605666888373847,0.0,,none,complex,slope,-1.1730260212740882,-0.0037286056399680454,1504.0,0.04076371033321193,1.6785169557163873,1.745603263277128,0.9636204516971011,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,3,0.023959737960632266,0.5974311266597159,0.0,,none,complex,slope,-0.2878047812850371,-0.0034117397039931424,1504.0,0.030577850716093407,2.8819445927683343,1.4753108238985944,0.9985684669165575,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
