analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std,center_3_mean,center_3_std
TA0038190758_PD1_1.500__1280,2,0.017761700832539643,4.686730177607355,2.719168667588809,1282.154621849917,2.149818369868535,1308.1750609370597,1.9927870603309985,1421.9248571999556,90.11981650450223
人扁桃体_14_PD1_1.500__1280,3,0.0074260862055644935,2.7383201174385676,1.8058609210115388,887.4784633194143,342.0427318199207,1285.7913823210622,17.397157472544862,1325.6206225056253,31.65668436801639
类器官2 ZX Cell 2__1280,2,0.006427927464584101,2.4856304430252987,1.5580684419904687,777.2050757806309,123.32660087646708,951.0254736886257,73.62780507385689,1307.7103028140004,0.3613466639641428
