batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,reference_file,reference_mode,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,3,0.9712555612274459,-3.1414253468863866,0.0,D:\undergra\na_nn\snom光谱1\2026-08-06 113047 PH PSP gan-ikzf-bg.txt,fixed_multiplicative_layer,0.002504989237211876,1.7983245893611581,1.81459612952433,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,3,0.7203695228810438,3.141592651269968,0.0,D:\undergra\na_nn\snom光谱1\2026-08-06 113047 PH PSP gan-ikzf-bg.txt,fixed_multiplicative_layer,0.010093930744420138,3.2228116562258586,1.9960081403133103,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
