epoch,train_loss,val_loss
1,0.10186848789453506,0.09106765687465668
2,0.08433442562818527,0.08770932257175446
3,0.07523840665817261,0.0857342854142189
4,0.06915327161550522,0.08363892138004303
5,0.06543686985969543,0.08132924884557724
6,0.06138620898127556,0.08091410249471664
7,0.05814974382519722,0.0820479691028595
8,0.05538241192698479,0.08361011743545532
9,0.0533348023891449,0.08525265008211136
10,0.05162540450692177,0.08681759238243103
11,0.051888998597860336,0.08797494322061539
12,0.0484815314412117,0.08942777663469315
13,0.04727581515908241,0.09060638397932053
14,0.04451160132884979,0.09157484024763107
15,0.045032162219285965,0.09209243208169937
16,0.04295371100306511,0.09201834350824356
17,0.04149700701236725,0.09202075749635696
18,0.04066306725144386,0.09238258749246597
19,0.038616329431533813,0.09288524091243744
20,0.03785599768161774,0.09384450316429138
