analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_3,1307.7103028140007,0.2555106764482389,0.00019538782855684262,0.0,1307.4547921375524,1307.965813490449,2
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_2,1308.1750609370597,1.4091132438207978,0.0010771595376626688,0.0,1306.7659476932388,1309.5841741808804,2
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_1,1282.154621849917,1.5201511476534506,0.0011856223280310347,0.0,1280.6344707022636,1283.6747729975705,2
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_2,1285.791382321062,14.2047195941942,0.011047452790165982,0.0,1274.948599880376,1305.8581359415812,3
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_3,1325.6206225056253,25.84757454999357,0.019498470460679537,0.0,1304.6379991831286,1362.0337937463073,3
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_3,1421.9248571999556,63.72433336962092,0.04481554214834277,0.0,1358.2005238303348,1485.6491905695766,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_2,951.0254736886257,52.06272025160558,0.054743770479329275,0.0,898.9627534370201,1003.0881939402312,2
