batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,reference_file,reference_mode,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,3,0.21885209533363284,3.1415926525681335,0.0,,none,0.00468144374054522,2.966345184526394,1.247831682957165,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,3,0.17806377423211342,-3.1415924947947644,0.0,,none,0.002394765532298251,0.9592549343666408,0.5007206822389929,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
