batch,sample_id,analysis_group,class_label,original_class_label,specimen_name,marker,tune_wavenumber,n_points,initial_source,initial_loss,amp_mse,phase_circular_mse,wt_1,wt_2,wt_3,gap_1,gap_2,gap_3,gamma_1,gamma_2,gamma_3,eps_inf,gain,phase_shift
group2_raw_reference__1200,lei 1-1200-a,类器官1 ZX Cell 1__1200,organoid,organoid,类器官1 ZX Cell 1,none,1200,15,phase0,0.021212715956750443,0.02045154394791284,3.0543074255969516,733.6403133748338,965.3286426100929,1504.2287305684436,81.30604533123321,81.42610986201774,81.35947918320912,65.82477607227914,146.81867026045282,299.9971219521677,1.8954243653708158,0.1992170632751294,-0.1586758793265064
group2_raw_reference__1200,lei 1-1200-b,类器官1 ZX Cell 1__1200,organoid,organoid,类器官1 ZX Cell 1,none,1200,12,phase0,0.02024793942633008,0.019515411272794485,3.02437197579401,733.64008418817,965.3290420050124,1504.1370595598537,81.23624317947082,81.42614351684739,81.39048156728597,65.82493133077196,146.81868221100763,299.99711583858374,1.8954235463327391,0.19921699997891273,-0.15867588674948196
group2_raw_reference__1200,lei 1-1200-e,类器官1 ZX Cell 1__1200,organoid,organoid,类器官1 ZX Cell 1,none,1200,11,phase0,0.02960401046579504,0.028598549198809102,4.354303968996109,733.639475314614,965.3306552247261,1505.1648499571645,78.59692380994447,81.42617880078907,81.4218252646835,65.8238137386428,146.81865598187557,299.9971093055418,1.8954309863951018,0.19921743951744247,-0.15867595226485465
