batch,source_dir,pred_plot,resid_plot,stability_plot,n_samples,n_classes,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_shortlist_csv
group2_raw_reference__1200,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1200\group2_raw_reference__1200_pred_vs_true.png,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1200\group2_raw_reference__1200_residuals.png,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1200\group2_raw_reference__1200_parameter_stability.png,3,1,0.008068693697144866,2.413357815468452,1.3500360222941443,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1200\center_parameter_shortlist.csv
group2_raw_reference__1280,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1280\group2_raw_reference__1280_pred_vs_true.png,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1280\group2_raw_reference__1280_residuals.png,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1280\group2_raw_reference__1280_parameter_stability.png,7,2,0.007829782377867658,2.834144457347827,1.3243100720529934,outputs\physical_relative_report_phase0_n2\group2_raw_reference__1280\center_parameter_shortlist.csv
