analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,eps_inf_mean,eps_inf_std,eps_inf_cv,eps_inf_min,eps_inf_max,eps_inf_boundary_hit_rate,center_1_mean,center_1_std,center_1_cv,center_1_min,center_1_max,center_1_boundary_hit_rate,center_2_mean,center_2_std,center_2_cv,center_2_min,center_2_max,center_2_boundary_hit_rate,center_3_mean,center_3_std,center_3_cv,center_3_min,center_3_max,center_3_boundary_hit_rate,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_1_min,gamma_1_max,gamma_1_boundary_hit_rate,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_2_min,gamma_2_max,gamma_2_boundary_hit_rate,gamma_3_mean,gamma_3_std,gamma_3_cv,gamma_3_min,gamma_3_max,gamma_3_boundary_hit_rate,strength_1_mean,strength_1_std,strength_1_cv,strength_1_min,strength_1_max,strength_1_boundary_hit_rate,strength_2_mean,strength_2_std,strength_2_cv,strength_2_min,strength_2_max,strength_2_boundary_hit_rate,strength_3_mean,strength_3_std,strength_3_cv,strength_3_min,strength_3_max,strength_3_boundary_hit_rate
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,1.7334885730308986,1.6334885730308975,0.9423128588461938,0.1000000000000011,3.3669771460617963,0.5,1050.8275886998758,287.5384649123685,0.2736304870603196,763.2891237875073,1338.3660536122443,0.0,987.9325119983805,18.880426201323303,0.01911104855040365,969.0520857970572,1006.8129381997038,0.0,1416.1698931026199,80.36306981523342,0.05674677184329184,1335.8068232873864,1496.5329629178532,0.0,97.29180086921757,83.73185587774093,0.8606260253142486,13.559944991476645,181.0236567469585,0.0,126.6658393892279,16.094675718420945,0.12706405922881814,110.57116367080695,142.76051510764884,0.0,169.8322857512238,10.905078337345316,0.06421086714524579,158.92720741387848,180.7373640885691,0.0,1.5394096520618201,1.297199709562646,0.8426605015918854,0.2422099424991741,2.836609361624466,0.0,12.756447536415973,7.243552341029187,0.5678346044500532,5.512895195386784,19.99999987744516,0.5,4.560117615637987,2.880597490652557,0.6316936828062303,1.67952012498543,7.440715106290544,0.0
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,3.1906658405395674,4.370861548454298,1.3698901003414947,0.1,9.371997521618702,0.6666666666666666,754.3771215579682,8.848649444998307,0.011729742581169123,747.5276333663412,766.8716660449301,0.0,990.3978144589217,44.89727215769484,0.04533256384680459,942.3942108215432,1050.3911166516198,0.0,1468.0642914147818,94.88909392135758,0.06463551662980126,1345.3879689586745,1576.5065941731534,0.0,111.90397135341493,113.43282506935645,1.0136621935526495,13.871319867295895,270.8871472685771,0.0,119.12792774378933,32.45364552635485,0.2724268451655874,75.63969271218252,153.5778991192211,0.0,261.47132863802676,43.30033271233393,0.16560260330599183,200.98764881125015,299.99999999999693,0.3333333333333333,0.5971776823027458,0.682551404170583,1.1429620101298648,2.600807001914901e-36,1.552537975956808,0.3333333333333333,14.143944621724266,8.281711843015326,0.5855305619830071,2.431835413666147,19.99999999999487,0.6666666666666666,6.580403463529739,2.1985495303200944,0.3341055822039907,4.045021042018832,9.406718117720514,0.0
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.1,0.0,0.0,0.1,0.1,1.0,1425.5925551287128,319.11220243141304,0.22384530648913292,1106.4803526972996,1744.7047575601257,0.0,1196.964219866762,89.66843314855794,0.07491321098849484,1107.2957867182042,1286.63265301532,0.0,1341.5322882891282,7.424058223684028,0.005534013820235375,1334.1082300654443,1348.9563465128124,0.0,238.63500132495517,3.0454598667532196,0.01276199991553682,235.58954145820195,241.6804611917084,0.0,74.7073971474005,40.841527514958145,0.5466865273645625,33.86586963244235,115.54892466235864,0.0,125.75708271125797,13.792091166351632,0.10967248022140096,111.96499154490634,139.5491738776096,0.0,10.000000000000052,9.99999999999995,0.9999999999998899,1.0130159033718309e-13,20.0,1.0,5.60351785009776,0.7500301883249509,0.13384987937742215,4.853487661772809,6.353548038422711,0.0,16.470170800725057,3.529791483532488,0.2143142002739209,12.94037931719257,19.999962284257546,0.5
