analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_3,1341.5322882891282,7.424058223684028,0.005534013820235375,0.0,1334.1082300654443,1348.9563465128124,2
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_1,754.3771215579682,8.848649444998307,0.011729742581169123,0.0,747.5276333663412,766.8716660449301,3
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_2,987.9325119983805,18.880426201323303,0.01911104855040365,0.0,969.0520857970572,1006.8129381997038,2
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_2,990.3978144589217,44.89727215769484,0.04533256384680459,0.0,942.3942108215432,1050.3911166516198,3
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_3,1416.1698931026199,80.36306981523342,0.05674677184329184,0.0,1335.8068232873864,1496.5329629178532,2
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_3,1468.0642914147818,94.88909392135758,0.06463551662980126,0.0,1345.3879689586745,1576.5065941731534,3
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_2,1196.964219866762,89.66843314855794,0.07491321098849484,0.0,1107.2957867182042,1286.63265301532,2
