batch,source_dir,pred_plot,resid_plot,stability_plot,n_samples,n_classes,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,reference_file,reference_mode,center_shortlist_csv
group2_raw_reference__1200,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_phase0\group2_raw_reference__1200\group2_raw_reference__1200_pred_vs_true.png,outputs\physical_relative_report_phase0\group2_raw_reference__1200\group2_raw_reference__1200_residuals.png,outputs\physical_relative_report_phase0\group2_raw_reference__1200\group2_raw_reference__1200_parameter_stability.png,3,1,0.004681443740545166,2.966345184526394,1.247831682957165,,none,outputs\physical_relative_report_phase0\group2_raw_reference__1200\center_parameter_shortlist.csv
group2_raw_reference__1280,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_phase0\group2_raw_reference__1280\group2_raw_reference__1280_pred_vs_true.png,outputs\physical_relative_report_phase0\group2_raw_reference__1280\group2_raw_reference__1280_residuals.png,outputs\physical_relative_report_phase0\group2_raw_reference__1280\group2_raw_reference__1280_parameter_stability.png,7,2,0.002394765532298214,0.9592549343666408,0.5007206822389929,,none,outputs\physical_relative_report_phase0\group2_raw_reference__1280\center_parameter_shortlist.csv
