analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std,center_3_mean,center_3_std
TA0038190758_PD1_1.500__1280,2,0.030273365677949464,1.0865201831479698,0.7117818601723076,844.0556373310562,148.0149715726868,909.346374079341,56.98352987987437,1501.7262781225186,351.11206465737285
人扁桃体_14_PD1_1.500__1280,3,0.039607077247932825,2.9695042785294317,1.140764469961037,766.7583639128376,132.94637464098983,1375.2406612157595,400.8461984403851,1498.7285562541883,250.91437381818645
类器官2 ZX Cell 2__1280,2,0.017338495956478232,4.546029473747053,1.0720610690940884,1193.1920219383678,16.439875312370663,1304.6711247082699,17.942592559640058,1242.4206546433513,145.3003681736947
