batch,source_dir,pred_plot,resid_plot,stability_plot,n_samples,n_classes,amp_mse_mean,phase_circular_mse_mean,complex_mse_mean,residual_l2_mean,reference_file,reference_mode,phase_calibration_mode,phase_calibration_phi0,phase_calibration_phi1,center_shortlist_csv
group2_raw_reference__1200,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1200\group2_raw_reference__1200_pred_vs_true.png,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1200\group2_raw_reference__1200_residuals.png,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1200\group2_raw_reference__1200_parameter_stability.png,3,1,0.016114355905245632,0.8286729785631824,1.1416965055652981,0.6715545087781688,,none,offset,-1.3396047155062356,0.0,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1200\center_parameter_shortlist.csv
group2_raw_reference__1280,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1280\group2_raw_reference__1280_pred_vs_true.png,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1280\group2_raw_reference__1280_residuals.png,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1280\group2_raw_reference__1280_parameter_stability.png,7,2,0.009524906429236129,0.8181933397609307,0.8567302213040564,0.3386249558598643,,none,offset,-0.34895295915859087,0.0,outputs\physical_relative_report_complex_phasecal_offset\group2_raw_reference__1280\center_parameter_shortlist.csv
