analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,amp_mse_mean,phase_circular_mse_mean,wt_1_mean,wt_1_std,wt_1_cv,wt_2_mean,wt_2_std,wt_2_cv,wt_3_mean,wt_3_std,wt_3_cv,gap_1_mean,gap_1_std,gap_1_cv,gap_2_mean,gap_2_std,gap_2_cv,gap_3_mean,gap_3_std,gap_3_cv,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_3_mean,gamma_3_std,gamma_3_cv,eps_inf_mean,eps_inf_std,eps_inf_cv,gain_mean,gain_std,gain_cv,phase_shift_mean,phase_shift_std,phase_shift_cv
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,0.059483667488839376,2.7807372303339806,1400.1440855022242,42.97868023419778,0.03069589814285049,1266.1579689718078,362.72999943975685,0.28648084072120117,1183.3760213749083,263.9149366865644,0.22301866179247404,89.48278043677016,40.48940428000287,0.4524826349588953,135.5174161374659,84.33034899019908,0.6222842154725957,127.11524164240905,83.29706453970175,0.6552877802606383,149.7981310696298,70.24360606730637,0.46892177867003043,221.68764156195243,72.53216203263862,0.32718180191879165,288.64178410477814,4.984505632340785,0.017268829070009838,9.881497707759252,0.340364947266826,0.0344446719503982,4.089022031712045,0.7700798998978973,0.18832862529043012,-0.08399154007789744,0.07230529260215612,0.8608638908925604
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,0.06792169491872235,3.960549434010448,1284.6343590094082,300.1698170846242,0.23366167577344804,781.3027994748045,68.4794879805278,0.08764782108253491,840.5891829054029,235.0750929478842,0.2796551487048367,198.21250741271743,58.4759108336275,0.295016250961999,170.43659034370145,92.2505282784912,0.5412601137293741,119.48924247848595,73.23153046617487,0.6128713258286118,168.1660636999791,59.15718722335002,0.3517783904686804,197.00809241174133,44.21622990580158,0.22443864798785285,168.2758932473644,53.327618523342444,0.31690587101375334,6.125204138564096,5.524348465631933,0.9019043825546583,3.0712533948682554,0.6523542098907962,0.21240650766776425,-0.48935682681325154,0.21555714577492963,0.4404907207972463
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.02938975632968855,3.1654915400403247,1107.70224495089,2.9298661789795233,0.002644994349616913,1090.9230416810676,107.97410320044742,0.0989749955533747,1176.7180937036765,388.1201002194547,0.3298326950973982,77.97008059058837,15.801185259686811,0.20265703380031616,167.76135763610336,103.64477407015583,0.6178107731388118,241.1991506817336,52.7475521809625,0.2186887973265582,69.12909174421875,33.0965484044631,0.4787644038798371,157.73279650805824,13.041812046063058,0.08268294440953469,83.18536356438489,1.3287439308946816,0.015973289937075412,14.93569081105354,2.4392062727769073,0.1633139238085038,4.569835452774969,1.5825156531687326,0.34629598068893536,-0.1984725405472738,0.16476112350794736,0.8301456450961626
