epoch,train_loss,val_loss
1,0.18593934178352356,0.14496462047100067
2,0.11517146974802017,0.09776585549116135
3,0.07305154204368591,0.06610778719186783
4,0.036136165261268616,0.046693105250597
5,0.027559392154216766,0.035031888633966446
6,0.02234426513314247,0.02711210958659649
7,0.015158760361373425,0.021305887028574944
8,0.013938531279563904,0.01671101525425911
9,0.010009316727519035,0.013031658716499805
10,0.010354255326092243,0.010324696078896523
11,0.004999692551791668,0.008584600873291492
12,0.008391071110963821,0.007479870226234198
13,0.004856444429606199,0.006920014973729849
14,0.0032375629525631666,0.0067023951560258865
15,0.0033442864660173655,0.006691776216030121
16,0.004629414062947035,0.006795275956392288
17,0.0030386755242943764,0.006917775142937899
18,0.002922872779890895,0.007007585372775793
19,0.003433417761698365,0.00703129917383194
20,0.003298951778560877,0.00699799507856369
