batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,2,0.13940515148632443,0.46619961321075254,0.0,0.008068693697144897,2.413357815468452,1.3500360222941443,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,2,0.16179067041394615,-2.9229776827629808,0.0,0.007829782377867705,2.834144457347827,1.3243100720529934,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
