class_label,n_samples,total_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean
organoid,7,60,0.04879021685997277,0.420731576972642,0.055511778850792885,0.5034403184459533
tonsil,3,23,0.025650049865471026,0.4456077434562887,0.030267740004997212,0.5172250647208436
