analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,eps_inf_mean,eps_inf_std,eps_inf_cv,eps_inf_min,eps_inf_max,eps_inf_boundary_hit_rate,center_1_mean,center_1_std,center_1_cv,center_1_min,center_1_max,center_1_boundary_hit_rate,center_2_mean,center_2_std,center_2_cv,center_2_min,center_2_max,center_2_boundary_hit_rate,center_3_mean,center_3_std,center_3_cv,center_3_min,center_3_max,center_3_boundary_hit_rate,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_1_min,gamma_1_max,gamma_1_boundary_hit_rate,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_2_min,gamma_2_max,gamma_2_boundary_hit_rate,gamma_3_mean,gamma_3_std,gamma_3_cv,gamma_3_min,gamma_3_max,gamma_3_boundary_hit_rate,strength_1_mean,strength_1_std,strength_1_cv,strength_1_min,strength_1_max,strength_1_boundary_hit_rate,strength_2_mean,strength_2_std,strength_2_cv,strength_2_min,strength_2_max,strength_2_boundary_hit_rate,strength_3_mean,strength_3_std,strength_3_cv,strength_3_min,strength_3_max,strength_3_boundary_hit_rate
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,13.576304852858136,2.6786448343341682,0.19730293797653287,10.897660018523968,16.254949687192305,0.0,844.0556373310562,104.66239011618093,0.12399939706241193,739.3932472148754,948.7180274472372,0.0,909.346374079341,40.293440394005415,0.04431033272090635,869.0529336853356,949.6398144733464,0.0,1501.7262781225186,248.27372187563788,0.16532554933115598,1253.4525562468807,1749.9999999981565,0.5,182.10187313080576,105.42616565222785,0.5789405888016238,76.6757074785779,287.5280387830336,0.0,81.64043740217214,23.396263648311916,0.2865769022409616,58.24417375386022,105.03670105048406,0.0,42.612812794245556,27.654312444719864,0.6489670742517532,14.958500349525693,70.26712523896542,0.0,8.968227455830942,8.968227455830942,0.9999999999998885,1.1226311609437638e-31,17.936454911661883,0.5,12.538334234969618,5.4169622059475735,0.4320320470353347,7.121372029022044,17.95529644091719,0.0,1.9967363084550684,1.6293120759980562,0.8159876039204621,0.3674242324570123,3.626048384453125,0.0
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,9.269446137362573,6.522695617691591,0.7036769534049835,0.1,14.725536139134944,0.3333333333333333,766.7583639128376,108.55026034110473,0.14157036355907843,690.0000000000001,920.2716142732294,0.6666666666666666,1375.2406612157595,327.28955050445126,0.23798710999070952,952.6073982281156,1749.9999999999998,0.3333333333333333,1498.7285562541883,204.87072832817046,0.1366963533678234,1209.0840260557047,1649.67924555116,0.0,177.37431219891366,87.34167791379309,0.4924144698914724,102.80989544465614,299.938194262528,0.0,52.5029230415764,29.53716073262794,0.5625812625563203,26.68288610636592,93.84989046148526,0.0,73.71681700252186,64.04682036911831,0.8688223796603479,25.99318966563145,164.24822152353167,0.0,13.300675027352492,9.405082558863581,0.7071131757990904,1.389659577161526e-30,19.99999999994609,0.6666666666666666,5.289729380014393,6.5974078021155345,1.2472108359721676,0.5149790598820507,14.619006591854232,0.0,1.8535701089414696,2.6213439868437893,1.4142135623558167,3.041759538981164e-19,5.560710326781116,0.6666666666666666
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.1,0.0,0.0,0.1,0.1,1.0,1193.1920219383678,11.624747315238665,0.009742562053301351,1181.5672746231292,1204.8167692536065,0.0,1304.6711247082699,12.687328870988836,0.009724541787360987,1291.9837958372811,1317.3584535792588,0.0,1242.4206546433513,102.74287564452152,0.0826957240774581,1139.6777789988298,1345.1635302878728,0.0,30.440088358881148,12.833617428904018,0.42160250251570913,17.60647092997713,43.27370578778517,0.0,59.4672983721096,29.614514002415383,0.4979966269378097,29.85278436969422,89.08181237452499,0.0,51.64241118328073,17.786247155153475,0.34441163275721415,33.85616402812725,69.4286583384342,0.0,3.436002567497841,2.193403158737718,0.6383589987635997,1.2425994087601226,5.629405726235559,0.0,15.487844760931015,4.512155239068984,0.2913352573400571,10.975689521862032,20.0,0.5,10.63295836409045,9.362806876092751,0.8805458044218318,1.2701514879976996,19.9957652401832,0.0
