analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_2,1304.6711247082699,12.687328870988836,0.009724541787360987,0.0,1291.9837958372811,1317.3584535792588,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_1,1193.1920219383678,11.624747315238665,0.009742562053301351,0.0,1181.5672746231292,1204.8167692536065,2
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_2,909.346374079341,40.293440394005415,0.04431033272090635,0.0,869.0529336853356,949.6398144733464,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_3,1242.4206546433513,102.74287564452152,0.0826957240774581,0.0,1139.6777789988298,1345.1635302878728,2
