analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,eps_inf_mean,eps_inf_std,eps_inf_cv,eps_inf_min,eps_inf_max,eps_inf_boundary_hit_rate,center_1_mean,center_1_std,center_1_cv,center_1_min,center_1_max,center_1_boundary_hit_rate,center_2_mean,center_2_std,center_2_cv,center_2_min,center_2_max,center_2_boundary_hit_rate,center_3_mean,center_3_std,center_3_cv,center_3_min,center_3_max,center_3_boundary_hit_rate,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_1_min,gamma_1_max,gamma_1_boundary_hit_rate,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_2_min,gamma_2_max,gamma_2_boundary_hit_rate,gamma_3_mean,gamma_3_std,gamma_3_cv,gamma_3_min,gamma_3_max,gamma_3_boundary_hit_rate,strength_1_mean,strength_1_std,strength_1_cv,strength_1_min,strength_1_max,strength_1_boundary_hit_rate,strength_2_mean,strength_2_std,strength_2_cv,strength_2_min,strength_2_max,strength_2_boundary_hit_rate,strength_3_mean,strength_3_std,strength_3_cv,strength_3_min,strength_3_max,strength_3_boundary_hit_rate
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,0.10001496090239526,1.4945078586951765e-05,0.00014942843002645635,0.1000000158238083,0.1000299059809822,0.5,752.6763984535519,0.716988794229394,0.0009525857270169723,751.9594096593225,753.3933872477813,0.0,947.770792704312,0.7925433198788028,0.0008362183409528865,946.9782493844332,948.5633360241908,0.0,1441.289506740799,5.924584908487645,0.004110614058299057,1435.3649218323112,1447.2140916492865,0.0,47.01186364777186,0.4907929372222277,0.010439767733936208,46.52107071054963,47.502656584994085,0.0,155.3375560302839,0.9067884028263506,0.005837534888533727,154.43076762745756,156.24434443311026,0.0,299.99999999999994,0.0,0.0,299.99999999999994,299.99999999999994,1.0,0.7784918085811264,0.5705564973249256,0.7328998083667507,0.2079353112562007,1.349048305906052,0.0,11.566232304246858,8.433767501936606,0.7291715469729229,3.1324648023102526,19.999999806183464,0.5,5.919585823330819,4.303784826295067,0.7270415455979817,1.6158009970357512,10.223370649625886,0.0
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,1.7033247846366457,2.19784068448989,1.2903239031758962,0.1000000000000006,4.811015740920704,0.3333333333333333,732.9496871753937,30.373435547086782,0.04144000069655317,690.0000000000001,754.9827950834788,0.3333333333333333,962.6282457123824,14.896378518629376,0.015474695018537982,951.5917644914546,983.6867630626764,0.0,1501.8497034979025,86.93149804011776,0.057882954491150995,1431.2004719292354,1624.3072211409262,0.0,57.4809703584395,14.517479790469487,0.25256149469887546,46.59955323399237,77.99920856655919,0.0,142.45757577230106,8.323685946585563,0.05842922639572204,132.87033637055623,153.1663668228727,0.0,299.99999999999994,0.0,0.0,299.99999999999994,299.99999999999994,1.0,0.6337514595042285,0.48016335350029227,0.7576524618580873,0.1987190760695035,1.3028154206649765,0.0,8.560180615058318,8.095779854047127,0.9457487193441685,2.439800560464185,19.99999999921167,0.3333333333333333,5.032521172861075,4.507299335770742,0.8956344505963337,1.6907182364817142,11.404261481530586,0.0
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.1,0.0,0.0,0.1,0.1,1.0,942.5224706786448,10.740100068099196,0.011395059961133856,931.7823706105456,953.262570746744,0.0,1280.7076786322755,1.3376734206682386,0.0010444798941916225,1279.3700052116071,1282.0453520529436,0.0,1377.9725665987708,0.7386812035456387,0.0005360637950644504,1377.2338853952251,1378.7112478023164,0.0,299.99999999999994,0.0,0.0,299.99999999999994,299.99999999999994,1.0,37.34511026589507,0.4903269569015869,0.013129615990165072,36.85478330899349,37.83543722279666,0.0,206.55710634711193,11.468764167972028,0.05552345484884514,195.08834217913991,218.02587051508397,0.0,19.999999999996795,3.1867841698840493e-12,1.5933920849422004e-13,19.99999999999361,19.999999999999982,1.0,4.097194824297683,0.7279327997035052,0.17766614254866572,3.3692620245941773,4.825127624001188,0.0,12.127915895172563,0.6277547650286595,0.05176114102823563,11.500161130143905,12.755670660201224,0.0
