sample_id,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,analysis_group,phase_calibration_mode,phase_calibration_phi0,phase_calibration_phi1,fit_space,complex_mse,amp_mse,phase_circular_mse,residual_l2,eps_inf,gain,phase_shift,center_1,center_2,center_3
lei 1-1200-a,15,0.0719265801210602,0.9337861566188778,0.0867458440074196,1.1575543695754746,类器官1 ZX Cell 1__1200,offset,-1.3396047155062356,0.0,complex,1.5802369906376414,0.0282059573074882,1.5585246421369263,1.2856561927133603,19.98280655338391,0.1620971390225956,2.939927326931335,921.0237427068536,976.8434539305,1445.8841588113994
lei 1-1200-b,12,0.0788491842155233,0.4357734403737557,0.0852477768799302,0.5309125402798963,类器官1 ZX Cell 1__1200,offset,-1.3396047155062356,0.0,complex,1.034991466813269,0.0097291989910802,0.5996759527866614,0.4747455307183824,13.537545748744634,0.1620971390225956,2.939927326931335,1419.595480443767,1328.236298682137,1549.0327318696932
lei 1-1200-e,11,0.060748332997691,0.3271539457511305,0.0680061130585302,0.4389871991814045,类器官1 ZX Cell 1__1200,offset,-1.3396047155062356,0.0,complex,0.8098610592449841,0.0104079114171685,0.3278183407659595,0.2542618029027637,1.0898635609854586,0.1620971390225956,2.939927326931335,1311.8350494268914,1373.3324938808291,1491.0989738217654
