analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std,center_3_mean,center_3_std
TA0038190758_PD1_1.500__1280,2,0.012635323798827008,0.19647200640082912,0.14570387901228946,1050.8275886998758,406.640796783012,987.9325119983805,26.70095479729563,1416.1698931026199,113.65054324663907
人扁桃体_14_PD1_1.500__1280,3,0.014794863981588413,1.1998589877835673,0.47537582266476397,754.3771215579682,10.837338026503723,990.3978144589217,54.987703814609155,1468.0642914147813,116.21493113117766
类器官2 ZX Cell 2__1280,2,0.003763228500673675,1.0619545458995736,0.4207453109308881,1425.5925551287125,451.2928045972527,1196.964219866762,126.81031427543569,1341.5322882891282,10.49920382778138
