batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,reference_file,reference_mode,fit_space,amp_mse_mean,phase_circular_mse_mean,complex_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,3,0.10841116952069184,1.5907791514952365,0.0,,none,complex,0.02800276041789511,1.2516365340234357,1.5873631153201033,0.7867900848412505,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,3,0.11485581942160412,2.8137628220777704,0.0,,none,complex,0.011025956649109514,0.8737757239930725,0.9386821308796257,0.36557512112580676,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
