batch,dataset_name,sample_id,class_label,specimen_name,marker,tune_wavenumber,reference_file,reference_mode,analysis_group,n_points,eps_inf,gain,phase_shift,amp_offset,amp_mse,phase_circular_mse,amp_relative_mse,residual_l2,success,center_1,center_2,center_3,gamma_1,gamma_2,gamma_3,strength_1,strength_2,strength_3
group2_raw_reference__1200,group2_raw_reference,TA-1280-a,organoid,类器官1 ZX Cell 1,none,1200,D:\undergra\na_nn\snom光谱1\2026-08-06 113047 PH PSP gan-ikzf-bg.txt,fixed_multiplicative_layer,类器官1 ZX Cell 1__1200,266,0.10000000000003424,0.9712555612274459,-3.1414253468863866,0.0,0.0015862309629805559,1.5169652215033367,0.050899639100269435,0.7837523322390684,True,690.0000000000239,884.715895993587,1300.8957866326903,299.99999999998994,299.999999999993,173.3536803983926,15.883768194158543,19.285733130614634,19.999999999999865
group2_raw_reference__1200,group2_raw_reference,TA-1280-b,organoid,类器官1 ZX Cell 1,none,1200,D:\undergra\na_nn\snom光谱1\2026-08-06 113047 PH PSP gan-ikzf-bg.txt,fixed_multiplicative_layer,类器官1 ZX Cell 1__1200,266,0.10000000000000002,0.9712555612274459,-3.1414253468863866,0.0,0.0016597795966938637,1.4713164008206987,0.05350456596745511,3.3260934986563253,True,690.0000000000001,881.4474979368626,1303.0096606131076,299.99999999999994,299.99999999999994,174.37572297706296,14.270018353551029,19.48344294321002,19.999999999999996
group2_raw_reference__1200,group2_raw_reference,bian-1280-b,organoid,类器官1 ZX Cell 1,none,1200,D:\undergra\na_nn\snom光谱1\2026-08-06 113047 PH PSP gan-ikzf-bg.txt,fixed_multiplicative_layer,类器官1 ZX Cell 1__1200,266,10.402143598363114,0.9712555612274459,-3.1414253468863866,0.0,0.004268957151961209,2.406692145759439,0.08118273882383718,1.3339425576775974,True,881.5024328676586,979.095802552301,1699.9044079331602,113.02827384281265,81.36835047088583,299.99999999146127,0.6637908294148568,0.2755999410937379,1.5715196781769578
