epoch,train_loss,val_loss
1,0.10904545336961746,0.10809081792831421
2,0.09617666155099869,0.09962982684373856
3,0.08371497690677643,0.093800850212574
4,0.07521282136440277,0.09192300587892532
5,0.07186463475227356,0.09156082570552826
6,0.0696321502327919,0.09156551212072372
7,0.0686756819486618,0.09220825880765915
8,0.06868095695972443,0.09299395978450775
9,0.06546372175216675,0.09377699345350266
10,0.06569349020719528,0.09468942880630493
11,0.06371673196554184,0.09538675844669342
12,0.062154751271009445,0.09593748301267624
13,0.06193331629037857,0.09643305093050003
14,0.06106492504477501,0.09684465080499649
15,0.05940835177898407,0.09721922129392624
16,0.05911668762564659,0.09741651266813278
17,0.05943620577454567,0.09772004932165146
18,0.05790095776319504,0.09796825796365738
19,0.057128481566905975,0.09819897264242172
20,0.05584433674812317,0.09833415597677231
21,0.05431840196251869,0.09856477379798889
22,0.05458027869462967,0.0986851304769516
23,0.054839447140693665,0.09861654043197632
24,0.05287577584385872,0.09870612621307373
25,0.05185379087924957,0.09893480688333511
26,0.05189468711614609,0.09938577562570572
27,0.05164802446961403,0.09993676096200943
28,0.050453413277864456,0.10069692134857178
29,0.04847053065896034,0.1014057844877243
30,0.04801711067557335,0.10198386013507843
31,0.04841288551688194,0.10245560854673386
32,0.04813616722822189,0.1026139110326767
33,0.044995371252298355,0.10241977870464325
34,0.04567786678671837,0.10200691223144531
35,0.04525940865278244,0.10151981562376022
36,0.046767834573984146,0.10168789327144623
37,0.042175281792879105,0.10284662246704102
38,0.04380803182721138,0.10397394746541977
39,0.04282687231898308,0.10531503707170486
40,0.04115116223692894,0.10651495307683945
