epoch,train_loss,val_loss
1,0.28523018956184387,0.2123713344335556
2,0.19470243155956268,0.1291249394416809
3,0.12856025993824005,0.0743350014090538
4,0.07872592657804489,0.04304353520274162
5,0.051994968205690384,0.02646055817604065
6,0.03012869320809841,0.017460225149989128
7,0.01930108293890953,0.012264980934560299
8,0.010026453994214535,0.009523779153823853
9,0.008612816222012043,0.0077827791683375835
10,0.008421438746154308,0.006746063474565744
11,0.005900599528104067,0.00605239300057292
12,0.008203196339309216,0.0055221677757799625
13,0.005601769778877497,0.004986466374248266
14,0.005502857733517885,0.0045115952380001545
15,0.0050443727523088455,0.004070022609084845
16,0.004921572748571634,0.0037367772310972214
17,0.004750039894133806,0.0034952915739268064
18,0.0038433528970927,0.0032722295727580786
19,0.004222913179546595,0.003043227829039097
20,0.00371653214097023,0.002823032671585679
