analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std,center_3_mean,center_3_std
TA0038190758_PD1_1.500__1280,2,0.0012142053099907196,3.7208575669581085,1.191753558853076,752.6035546592288,1.0403523559079084,947.8212233611607,1.2912347438836556,1442.5555541840113,8.914466362625632
人扁桃体_14_PD1_1.500__1280,3,0.003237589095787909,3.42046021347389,1.7559652336699223,732.2370186657398,36.591311137845196,962.797887917404,15.316753458863934,1504.650721837752,96.88839328979623
类器官2 ZX Cell 2__1280,2,0.002284067038363641,3.3082870389397683,1.4633846150430747,938.0721839755557,14.450947810783903,1280.8722921538638,2.029442430513735,1379.6979900556253,2.1303863551911464
