class_label,n_samples,total_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean
liver,6,33,0.041952656552657286,0.10004741646737948,0.048624170515719885,0.11538312122735163
tumor,6,27,0.041161505589257914,0.053504104188422115,0.047341135880106584,0.06098082171891984
