batch,source_dir,pred_plot,resid_plot,stability_plot,n_samples,n_classes,amp_mse_mean,phase_circular_mse_mean,complex_mse_mean,residual_l2_mean,reference_file,reference_mode,center_shortlist_csv
group2_raw_reference__1200,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1200\group2_raw_reference__1200_pred_vs_true.png,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1200\group2_raw_reference__1200_residuals.png,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1200\group2_raw_reference__1200_parameter_stability.png,3,1,0.028002760417895067,1.2516365340234357,1.5873631153201029,0.7867900848412505,,none,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1200\center_parameter_shortlist.csv
group2_raw_reference__1280,outputs\relative_analysis\group2_raw_reference,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1280\group2_raw_reference__1280_pred_vs_true.png,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1280\group2_raw_reference__1280_residuals.png,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1280\group2_raw_reference__1280_parameter_stability.png,7,2,0.011025956649109473,0.8737757239930725,0.9386821308796257,0.36557512112580676,,none,outputs\physical_relative_report_complex_smoke\group2_raw_reference__1280\center_parameter_shortlist.csv
