sample_id,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,analysis_group,amp_mse,phase_circular_mse,residual_l2,eps_inf,gain,phase_shift,center_1,center_2
lei 1-1200-a,15,0.0719265801210602,0.9337861566188778,0.0867458440074196,1.1575543695754746,TA0038190758_PD1_1.500__1280,0.0117945869939906,4.769106676955099,2.163604574731236,0.1000000000006079,0.1617906704139461,-2.9229776827629808,1290.6562839419337,1442.1495242034996
lei 1-1200-b,12,0.0788491842155233,0.4357734403737557,0.0852477768799302,0.5309125402798963,TA0038190758_PD1_1.500__1280,0.00756428728496,3.641323755980254,1.536570165388883,0.1000000000005088,0.1617906704139461,-2.9229776827629808,1300.522944132119,1456.1775810100737
lei 1-1200-e,11,0.060748332997691,0.3271539457511305,0.0680061130585302,0.4389871991814045,人扁桃体_14_PD1_1.500__1280,0.011331244663864,2.7567789962194347,1.1853775322383806,0.1000000000005,0.1617906704139461,-2.9229776827629808,1293.6125763469436,1450.6523566227524
lei 2-1280-a,5,0.0325527530931385,0.4921146370096318,0.0375657666995101,0.5713147193072639,人扁桃体_14_PD1_1.500__1280,0.0029451697675332,1.1654475326181228,0.7989139549351846,1.2620071439566232,0.1617906704139461,-2.9229776827629808,1308.0907349866068,1470.599267167241
lei 2-1280-b,4,0.0561209011342607,0.5749132470064314,0.0633935513662286,0.6173822772962327,人扁桃体_14_PD1_1.500__1280,0.004137261970549,1.284284951196673,0.8967334747251344,0.8739794740886302,0.1617906704139461,-2.9229776827629808,1289.3536355224624,1422.9153877494837
bian-1280-c,7,0.0199322223358951,0.3260627224556627,0.0225828343617051,0.3626296280073884,类器官2 ZX Cell 2__1280,0.0090669169537772,4.429880840093278,1.9261687578144655,0.1000000000000162,0.1617906704139461,-2.9229776827629808,690.0000000000098,926.0967804006078
bian-1280-d,7,0.0313961644023785,0.2461990809810247,0.0384997414054689,0.2898802367375762,类器官2 ZX Cell 2__1280,0.0079690090103996,1.7921884483719266,0.7628020445376706,0.1,0.1617906704139461,-2.9229776827629808,690.0000000000001,927.4065756876608
