analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,eps_inf_mean,eps_inf_std,eps_inf_cv,eps_inf_min,eps_inf_max,eps_inf_boundary_hit_rate,center_1_mean,center_1_std,center_1_cv,center_1_min,center_1_max,center_1_boundary_hit_rate,center_2_mean,center_2_std,center_2_cv,center_2_min,center_2_max,center_2_boundary_hit_rate,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_1_min,gamma_1_max,gamma_1_boundary_hit_rate,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_2_min,gamma_2_max,gamma_2_boundary_hit_rate,strength_1_mean,strength_1_std,strength_1_cv,strength_1_min,strength_1_max,strength_1_boundary_hit_rate,strength_2_mean,strength_2_std,strength_2_cv,strength_2_min,strength_2_max,strength_2_boundary_hit_rate
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,2,0.10000000000055835,4.954370247389761e-14,4.954370247312554e-13,0.1000000000005088,0.1000000000006079,1.0,1295.5896140370264,4.933330095092629,0.0038077876216686284,1290.6562839419337,1300.522944132119,0.0,1449.1635526067867,7.014028403287057,0.004840053002071482,1442.1495242034996,1456.1775810100737,0.0,41.48189155429536,4.677337579532857,0.11275613054941358,36.804553974762506,46.15922913382822,0.0,299.99999999985,0.0,0.0,299.99999999985,299.99999999985,1.0,3.9783869028891186,0.10907008297833864,0.02741565504830718,3.86931681991078,4.087456985867457,0.0,19.999999999978876,1.8243193388919144e-12,9.121596694468751e-14,19.999999999977053,19.9999999999807,1.0
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,0.7453288726819177,0.4830309745644325,0.6480776369573522,0.1000000000005,1.2620071439566232,0.3333333333333333,1297.0189822853374,8.019660223274412,0.0061831479205831106,1289.3536355224624,1308.0907349866068,0.0,1448.0556705131592,19.553263549351882,0.013503115900525166,1422.9153877494837,1470.599267167241,0.0,39.41715816735048,5.794593924389891,0.14700689227234673,34.04107439023697,47.46143665812684,0.0,299.9999999998404,1.1196903082913486e-11,3.7323010276398017e-14,299.9999999998247,299.99999999985,1.0,1.1677399331990943,1.396410680164446,1.1958233511272485,0.1517119733715847,3.142283684427621,0.0,7.420472420223728,8.896075621218538,1.1988556950864755,0.9668288218191858,19.999999999906706,0.3333333333333333
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.10000000000000811,8.097692158821445e-15,8.097692158739812e-14,0.1,0.1000000000000162,1.0,690.000000000005,4.8320249646516025e-12,7.002934731379073e-15,690.0000000000001,690.0000000000098,1.0,926.7516780441343,0.6548976435265104,0.0007066592476084211,926.0967804006078,927.4065756876608,0.0,299.99999999999807,1.90446662233523e-12,6.348222074450786e-15,299.99999999999613,299.99999999999994,1.0,161.3206187959941,8.807364058754487,0.05459540215310119,152.5132547372396,170.12798285474858,0.0,19.999999999998337,1.6644473064136235e-12,8.322236532068394e-14,19.99999999999667,20.0,1.0,14.524290636905212,0.7818595622243159,0.05383117026298078,13.742431074680896,15.306150199129528,0.0
