analysis_group,class_label,specimen_name,tune_wavenumber,n_samples,eps_inf_mean,eps_inf_std,eps_inf_cv,center_1_mean,center_1_std,center_1_cv,center_2_mean,center_2_std,center_2_cv,center_3_mean,center_3_std,center_3_cv,gamma_1_mean,gamma_1_std,gamma_1_cv,gamma_2_mean,gamma_2_std,gamma_2_cv,gamma_3_mean,gamma_3_std,gamma_3_cv,strength_1_mean,strength_1_std,strength_1_cv,strength_2_mean,strength_2_std,strength_2_cv,strength_3_mean,strength_3_std,strength_3_cv
TA0038190758_PD1_1.500__1280,tonsil,TA0038190758_PD1_1.500,1280,2,0.1,0.0,0.0,1285.9667603210182,1.2738892171852285,0.000990608199598584,1333.5757026043118,1.0865094589307773,0.0008147339943348962,1487.5618045350639,0.5299544377560323,0.00035625708870742944,21.04040581064485,0.651884293100002,0.030982496201198126,68.67110277021723,0.5050003212825018,0.0073538985236962584,299.9999999999999,5.684341886080802e-14,1.8947806286935947e-16,2.3757348437139383,0.43928551024243345,0.18490510900430385,4.647259763171104,0.2599750678638042,0.055941583021464604,19.997074575418836,0.002925330416768901,0.00014628791855208071
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,3,0.17118158176771991,0.10066595832707895,0.5880653589419845,1054.9604691738743,162.98033955837386,0.1544895228974802,1295.6576690142651,21.008282401653382,0.01621437738074475,1412.7350673827711,47.10031851223731,0.03333980984806669,206.04082219052043,132.87834356759112,0.6449127030017451,43.471600081242705,8.660854885866621,0.19923018406684875,240.01396329213037,44.10589408396603,0.1837638672308529,13.561287508035656,9.105714530220563,0.6714491175579278,3.1507037288756607,1.4516346223834569,0.4607334574428605,10.882058572734424,2.0696899675449036,0.19019287147841968
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,2,0.18083772965203093,0.08083772965203094,0.4470180520797976,754.0956713565461,0.6802298025446021,0.0009020470855122836,952.1551100640013,0.7835940923993121,0.000822968951294753,1443.179705404627,10.110708129513228,0.007005855259500385,48.44332413913028,1.525255746872972,0.031485365093699445,147.2214687643177,5.708444940440714,0.03877454143307827,299.99999999999994,0.0,0.0,0.7885866080701733,0.587339590242931,0.7448003608373744,11.641088647587393,8.358911293495217,0.7180523700613581,6.728161093593802,4.697133769139573,0.6981303960767581
