sample_id,n_points,amp_abs_dev_mean,phase_abs_dev_mean,amp_std_mean,phase_std_mean,analysis_group,fit_space,complex_mse,amp_mse,phase_circular_mse,residual_l2,eps_inf,gain,phase_shift,center_1,center_2,center_3
lei 1-1200-a,15,0.0719265801210602,0.9337861566188778,0.0867458440074196,1.1575543695754746,类器官1 ZX Cell 1__1200,complex,1.7435113171190928,0.0382626418740716,1.8950357319123847,1.0038024666178325,19.785621365532077,0.1084111695206918,1.5907791514952363,1287.8816049879506,1412.9624349226765,1318.8191759763752
lei 1-1200-b,12,0.0788491842155233,0.4357734403737557,0.0852477768799302,0.5309125402798963,类器官1 ZX Cell 1__1200,complex,1.0659061398256318,0.0183645348988697,0.6070766872161029,0.4289515044728982,9.391053661011924,0.1084111695206918,1.5907791514952363,1290.8819736938754,1335.85644775566,1513.462667378847
lei 1-1200-e,11,0.060748332997691,0.3271539457511305,0.0680061130585302,0.4389871991814045,类器官1 ZX Cell 1__1200,complex,1.9526718890155847,0.0273811044807439,1.252797182941819,0.9276162834330208,10.631616321946522,0.1084111695206918,1.5907791514952363,1625.5658054601352,1509.877040263366,1749.9999999692857
