batch,dataset_name,tune_wavenumber,n_samples,n_classes,wmin,wmax,stride,n_lorentz,shared_gain,shared_phase,shared_amp_offset,reference_file,reference_mode,fit_space,phase_calibration_mode,phase_calibration_phi0,phase_calibration_phi1,phase_calibration_w0,amp_mse_mean,phase_circular_mse_mean,complex_mse_mean,residual_l2_mean,classes,analysis_groups
group2_raw_reference__1200,group2_raw_reference,1200,3,1,690.0,1750.0,4,3,0.21885322199873242,2.793700852291895,0.0,,none,amp_phase,offset,-1.3396047155062356,0.0,1504.0,0.004681409012586878,0.8418199492165616,1.704591262282691,0.4441231766674325,organoid,类器官1 ZX Cell 1__1200
group2_raw_reference__1280,group2_raw_reference,1280,7,2,690.0,1750.0,4,3,0.17804341678666544,3.1415926535897927,0.0,,none,amp_phase,offset,-0.34895295915859087,0.0,1504.0,0.002396193750507252,0.8749252272465784,1.0740041965982978,0.34631311146281696,organoid|tonsil,TA0038190758_PD1_1.500__1280|人扁桃体_14_PD1_1.500__1280|类器官2 ZX Cell 2__1280
