analysis_group,class_label,specimen_name,tune_wavenumber,center_param,mean,std,cv,boundary_hit_rate,min,max,n_samples
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_1,752.0561230113304,0.8105216760993699,0.0010777409441916842,0.0,751.2456013352311,752.8666446874298,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_2,1280.8320650564665,1.462664096488652,0.0011419639907470369,0.0,1279.3694009599778,1282.2947291529551,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_3,1379.657504587094,1.7453370087606572,0.0012650509296385142,0.0,1377.9121675783333,1381.4028415958546,2
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_2,948.6424159334304,1.4866872366631583,0.001567173480431306,0.0,947.1557286967673,950.1291031700936,2
TA0038190758_PD1_1.500__1280,organoid,TA0038190758_PD1_1.500,1280,center_3,1447.9123110546702,8.394239335763018,0.005797477700599552,0.0,1439.518071718907,1456.3065503904331,2
类器官2 ZX Cell 2__1280,organoid,类器官2 ZX Cell 2,1280,center_1,939.3773877505314,11.454190399690447,0.01219338526672339,0.0,927.923197350841,950.8315781502218,2
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_2,961.2468449486432,12.881936442169494,0.013401278256323148,0.0,951.2268542891532,979.4331929656056,3
人扁桃体_14_PD1_1.500__1280,tonsil,人扁桃体_14_PD1_1.500,1280,center_3,1499.003267080682,78.36472669428942,0.0522778891915994,0.0,1433.3467610721534,1609.152041286436,3
