batch,source_dir,pred_plot,resid_plot,stability_plot,n_samples,n_classes,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean
group2_raw_reference__1200,snom_pipeline\outputs\relative_analysis\group2_raw_reference,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1200\group2_raw_reference__1200_pred_vs_true.png,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1200\group2_raw_reference__1200_residuals.png,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1200\group2_raw_reference__1200_parameter_stability.png,3,1,0.0021657879191877664,0.7288951098507521,0.3353385557615218
group2_raw_reference__1280,snom_pipeline\outputs\relative_analysis\group2_raw_reference,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1280\group2_raw_reference__1280_pred_vs_true.png,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1280\group2_raw_reference__1280_residuals.png,snom_pipeline\outputs\physical_relative_report\group2_raw_reference__1280\group2_raw_reference__1280_parameter_stability.png,7,2,0.004010083369085028,1.2875807330827098,0.5082517819049182
