analysis_group,n_samples,amp_mse_mean,phase_circular_mse_mean,residual_l2_mean,center_1_mean,center_1_std,center_2_mean,center_2_std
TA0038190758_PD1_1.500__1280,2,0.009679437139475349,4.205215216467677,1.8500873700600593,1295.5896140370264,6.9767823281432655,1449.1635526067867,9.91933409479866
人扁桃体_14_PD1_1.500__1280,3,0.0061378921339821065,1.7355038266780767,0.9603416539662332,1297.0189822853374,9.822037728758438,1448.0556705131592,23.94775925103671
类器官2 ZX Cell 2__1280,2,0.008517962982088453,3.1110346442326025,1.344485401176068,690.000000000005,6.87311921874054e-12,926.7516780441342,0.9261651294413313
